Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,United Kingdom,Hull,England,GB3HS  C,GB3HS  G,145.650000,DUP-,0.600000,DV,,,YES,Approximate,53.780000,-0.550000,0:00
1,United Kingdom,Hull,England,GB3NY,,430.837500,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,53.800000,-0.560000,0:00
1,United Kingdom,Ipswich,England,GB3DE,,433.175000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,52.240000,1.100000,0:00
1,United Kingdom,Ipswich,England,GB3IH,,433.100000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,52.060000,1.200000,0:00
1,United Kingdom,Ipswich,England,GB3PO,,145.650000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,52.060000,1.200000,0:00
1,United Kingdom,Ipswich,England,GB7PP  B,GB7PP  G,439.437500,DUP-,9.000000,DV,,,YES,Approximate,52.250000,1.080000,0:00
1,United Kingdom,Isle Of South Ui,Scotland,GB3IS,,430.887500,DUP+,7.600000,FM,TONE,94.8Hz,YES,Approximate,57.100000,-7.350000,0:00
1,United Kingdom,Isle Of South Ui,Scotland,GB3IS  B,GB3IS  G,430.887500,DUP+,7.600000,DV,,,YES,Approximate,57.100000,-7.350000,0:00
1,United Kingdom,Ivybridge,England,GB3WD,,145.700000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,50.400000,-3.900000,0:00
1,United Kingdom,Jedburgh,Scotland,GB7JD  B,GB7JD  G,439.412500,DUP-,9.000000,DV,,,YES,Approximate,55.480000,-2.550000,0:00
1,United Kingdom,Kendal,England,GB3LF,,433.350000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,54.320000,-2.700000,0:00
1,United Kingdom,Kidderminster,Wales &,GB3KA,,430.887500,DUP+,7.600000,FM,TONE,118.8Hz,YES,Approximate,52.400000,-2.300000,0:00
1,United Kingdom,Kilmarnock,Scotland,GB7AY  B,GB7AY  G,439.450000,DUP-,9.000000,DV,,,YES,Approximate,55.670000,-4.400000,0:00
1,United Kingdom,Kilsyth,Scotland,GB3KV,,430.975000,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,56.000000,-4.040000,0:00
1,United Kingdom,Kings Lynn,England,GB3KL,,433.100000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,52.710000,0.420000,0:00
1,United Kingdom,Kings Lynn,England,GB3KY,,145.712500,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,52.780000,0.480000,0:00
1,United Kingdom,Kirkcaldy,Scotland,GB7KY,,439.650000,DUP-,9.000000,FM,TONE,103.5Hz,YES,Approximate,56.100000,-3.200000,0:00
1,United Kingdom,Kirkcaldy,Scotland,GB7KY  B,GB7KY  G,439.650000,DUP-,9.000000,DV,,,YES,Approximate,56.100000,-3.200000,0:00
1,United Kingdom,Kirkwall,Scotland,GB3OC,,145.650000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,58.990000,-3.020000,0:00
