"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
GB7FX,70CM,RBW10,433.125000,438.125000,74.4,SE,BRANDMEISTER,12,JO01,TQ7670,CHATHAM,Y,,,,
GB7GA,70CM,RU72,430.900000,438.500000,118.8,SCOT,,1,IO85,NT4936,GALASHIELS,Y,Y,Y,,
GB7GB,70CM,DVU61,439.762500,430.762500,,CEN,BRANDMEISTER,8,IO92BM,SP0696,SUTTON COLDFIELD,Y,,,,
GB7GD,2M,RV55,145.687500,145.087500,,SCOT,DV Scotland Phoenix,1,IO87WE,NJ9410,ABERDEEN,Y,Y,Y,,
GB7GF,70CM,DVU55,439.687500,430.687500,,SW,DV Scotland Phoenix,3,IO91RF,SU9948,GUILDFORD,Y,,,,
GB7GG,70CM,DVU50,439.625000,430.625000,,SCOT,DV Scotland Phoenix,1,IO85AV,NS7567,AIRDRIE,Y,Y,Y,,
GB7GJ,70CM,RU72,430.900000,438.500000,88.5,SW,BRANDMEISTER,1,IN89WE,NS7567,ST HELIER,Y,,,,
GB7GL,70CM,RU68,430.850000,438.450000,,SCOT,BRANDMEISTER,7,IO75,NS6167,GLASGOW,Y,,,,
GB7GM,70CM,RU78,430.975000,438.575000,118.8,SCOT,DV Scotland Phoenix,3,IO85,NX9874,DUMFRIES,Y,Y,Y,,
GB7GP,70CM,DVU52,439.650000,430.650000,,SE,BRANDMEISTER,5,IO91PP,SU8994,HIGH WYCOMBE,Y,,Y,,
GB7GR,70CM,DVU36,439.450000,430.450000,,CEN,DV Scotland Phoenix,5,IO92QW,SK9038,GRANTHAM,Y,Y,Y,,
GB7GS,70CM,DVU36,439.450000,430.450000,,CEN,DV Scotland Phoenix,3,JO02EO,TF6003,DOWNHAM MARKET,Y,,Y,,
GB7GT,70CM,DVU33,439.412500,430.412500,,WM,SALOP DMR,13,IO82,SO6077,CLEE HILL,Y,,,,
GB7GW,70CM,RU65,430.812500,438.412500,103.5,NOR,FREESTAR,10,IO94FV,NZ3157,WASHINGTON,Y,Y,Y,,
GB7GX,70CM,DMU29,439.362500,430.362500,103.5,SCOT,DV Scotland Phoenix,1,IO85MW,NT3774,PRESTONPANS ,Y,Y,Y,Y,
GB7GY,70CM,DVU55,439.687500,430.687500,,SW,BRANDMEISTER,5,IN89RL,,ST. PETER PORT,Y,,,,
GB7HA,70CM,DVU-R23,430.287500,439.287500,,SE,FREESTAR,7,IO91TU,TL1317,HARPENDEN,Y,Y,Y,,
GB7HB,70CM,DVU50,439.625000,430.625000,,NI,DV Scotland Phoenix,1,IO64,IJ0344,TANDRAGEE,Y,Y,Y,,
GB7HC,70CM,DVU42,439.525000,430.525000,,WM,SALOP DMR,5,IO82,SO5236,HEREFORD,Y,,,,
GB7HD,2M,RV55,145.687500,145.087500,,SW,SW CLUSTER,3,IO70,SX4479,TAVISTOCK,Y,,,,
GB7HF,70CM,DVU40,439.500000,430.500000,,SW,SW CLUSTER,5,IO80,SX8871,NEWTON ABBOT,Y,,,,
GB7HH,70CM,DVU60,439.750000,430.750000,,SE,BRANDMEISTER/PHOENIX,3,JO01CN,TQ5187,ROMFORD,Y,Y,Y,,
GB7HI,70CM,DVU45,439.562500,430.562500,,NI,,,IO64XN,,LISBURN,,,Y,,
GB7HK,2M,RV50,145.625000,145.025000,103.5,SCOT,freeDMR,3,IO85,NT5316,HAWICK,Y,,,,
GB7HM,70CM,DVU51,439.637500,430.637500,,WM,DV Scotland Phoenix,1,IO83,SJ2957,CAERGWRLE,Y,,,,
GB7HQ,2M,RV53,145.662500,145.062500,71.9,CEN,freeDMR,1,IO93,SK4658,HUTHWAITE,Y,Y,Y,Y,
GB7HQ,70CM,RB01,433.025000,434.625000,71.9,CEN,freeDMR,1,IO93,SK4658,HUTHWAITE,Y,Y,Y,Y,
GB7HR,70CM,DVU36,439.450000,430.450000,,SE,DV Scotland Phoenix,3,IO91SL,TQ0775,HEATHROW,Y,,,,
GB7HS,70CM,DVU34,439.425000,430.425000,,NOR,NORTHERN DMR CLUSTER,2,IO83XR,SD9828,HEPTONSTALL,Y,,,,
GB7HT,70CM,DVU59,439.737500,430.737500,,NOR,BRANDMEISTER/PHOENIX,10,IO95,NZ2887,ASHINGTON,Y,,,,
GB7HU,70CM,DVU39,439.487500,430.487500,,NOR,,,IO93RS,SE9532,SOUTH CAVE,,Y,,,
GB7HW,70CM,U321A,434.018750,434.018750,,NOR,,,IO83RO,SD6411,HORWICH,,,,,
GB7HX,70CM,DVU46,439.575000,430.575000,,NOR,BRANDMEISTER,1,IO93BP,SE0816,HUDDERSFIELD,Y,Y,,,
GB7HY,70CM,DVU46,439.575000,430.575000,,NOR,BRANDMEISTER,10,IO83QQ,SD6119,CHORLEY,Y,,,,
GB7IC-A,23CM,23CM,1290.650000,1270.650000,,SE,,,JO01NI,TR1967,HERNE BAY,,Y,,,
GB7IC-B,70CM,DVU36,439.450000,430.450000,,SE,,,JO01NI,TR1967,HERNE BAY,,Y,,,
GB7IC-C,2M,RV53,145.662500,145.062500,,SE,,,JO01NI,TR1967,HERNE BAY,,Y,,,
GB7IE,2M,RV54,145.675000,145.075000,77,SW,,,IO70WJ,SX5056,PLYMOUTH,,,Y,,
GB7II,70CM,DVU36,439.450000,430.450000,,SCOT,BRANDMEISTER,3,IO77UL,NH6445,INVERNESS,Y,,,,
GB7IK,70CM,DVU43,439.537500,430.537500,,SE,DV Scotland Phoenix,3,JO01FJ,TQ7370,ROCHESTER,Y,,,,
GB7IL,2M,RV53,145.662500,145.062500,,SCOT,BRANDMEISTER,5,IO77UL,NH6445,INVERNESS,Y,,,,
GB7IN,70CM,DVU52,439.650000,430.650000,,CEN,freeDMR,1,IO93,SK3559,TANSLEY NR MATLOCK,Y,,,,
GB7IP,2M,RV52,145.650000,145.050000,,CEN,,1,IO92KP,SK5904,LEICESTER,Y,,,,
GB7IS,70CM,DVU43,439.537500,430.537500,,SW,,,IO81MH,ST3358,WESTON-SUPER-MARE,,,Y,,
GB7IT,70CM,DVU41,439.512500,430.512500,,SW,DV Scotland Phoenix,1,IO81MH,ST3358,WESTON-SUPER-MARE,Y,,,,
GB7IV,2M,RV62,145.775000,145.175000,,SW,,,IO90IV,SU4711,SOUTHAMPTON,,,Y,,
GB7IX,70CM,RU75,430.937500,438.537500,110.9,SE,FREESTAR,,JO01IM,TQ8785,WESTCLIFF ON SEA,Y,Y,Y,Y,
GB7JA,70CM,DVU57,439.712500,430.712500,,SW,SW CLUSTER,9,IO81VC,ST8633,MERE  WILTSHIRE,Y,,,,
GB7JB,70CM,DVU37,439.462500,430.462500,,SW,SW CLUSTER,1,IO81TB,ST7128,WINCANTON,Y,,,,
GB7JD,70CM,DVU33,439.412500,430.412500,,SCOT,BRANDMEISTER,1,IO85RL,NT6520,JEDBURGH,Y,Y,,Y,
GB7JF,70CM,DVU51,439.637500,430.637500,,CEN,,,IO92NE,SP7753,NORTHAMPTON,,Y,,,
GB7JI,70CM,RU68,430.850000,438.450000,,SW,,2,IN89WE,SP7753,ST HELIER,,Y,,,
GB7JM,70CM,RU71,430.887500,438.487500,71.9,CEN,BRANDMEISTER,3,JO03BI,TF4284,ALFORD,Y,Y,Y,Y,
GB7JT,70CM,DVU54,439.675000,430.675000,,SE,,4,IO91,SP9226,LEIGHTON BUZZARD,Y,,Y,,
GB7KB,2M,RV52,145.650000,145.050000,,SE,BRANDMEISTER,3,JO00CX,TQ5621,HEATHFIELD,Y,,,,
GB7KD,70CM,DVU55,439.687500,430.687500,,SE,BRANDMEISTER,3,JO00DV,TQ6013,HAILSHAM,Y,,,,
GB7KE,70CM,DVU45,439.562500,430.562500,103.5,SE,,,JO01GI,TQ7766,CHATHAM,,Y,Y,,
GB7KK,70CM,RU74,430.925000,438.525000,,NI,DV Scotland Phoenix,1,IO65VE,ID1139,BALLYCASTLE,Y,Y,Y,,
GB7KL,70CM,RU70,430.875000,438.475000,110.9,NOR,,,IO84RD,SD6374,KIRKBY LONSDALE,,,Y,,
GB7KN,70CM,DVU35,439.437500,430.437500,,SCOT,DV Scotland Phoenix,1,IO85,NT1166,EDINBURGH,Y,Y,Y,,
GB7KP,70CM,DVU46,439.575000,430.575000,,NI,DV Scotland Phoenix,1,IO74,IJ4664,COMBER,Y,Y,Y,,
GB7KR,70CM,DVU-R24,430.300000,439.300000,,WM,SALOP DMR,8,IO82,SO8278,KIDDERMINSTER,Y,,,,
GB7KS,70CM,DVU-R20,430.250000,439.250000,,SW,SALOP DMR,2,IO81,SO8303,STROUD,Y,,,,
GB7KT,70CM,DVU40,439.500000,430.500000,,SW,SW CLUSTER,1,IO91GE,SU3545,ANDOVER,Y,,,,
GB7KU,70CM,DVU42,439.525000,430.525000,,CEN,DV Scotland Phoenix,5,IO92TT,TF0727,BOURNE,Y,Y,Y,,
GB7KY,70CM,DVU52,439.650000,430.650000,103.5,SCOT,DV Scotland Phoenix,1,IO86,NT2692,KIRKCALDY,Y,Y,Y,Y,
GB7LA,70CM,DMU29,439.362500,430.362500,,NOR,,,IO84,SD4862,LANCASTER,,Y,Y,,
GB7LB,70CM,DMU27,439.337500,430.337500,,SCOT,BRANDMEISTER,7,IO75RX,NS2367,ALEXANDRIA,Y,,,,
GB7LC,70CM,UR63,438.387500,430.787500,71.9,CEN,FREESTAR,5,IO93RE,SK9768,LINCOLN,Y,Y,Y,Y,
GB7LD,70CM,DVU35,439.437500,430.437500,,NOR,BRANDMEISTER,15,IO83,SD5322,LEYLAND,Y,,,,
GB7LE,70CM,DVU53,439.662500,430.662500,,NOR,NORTHERN DMR CLUSTER,2,IO93FU,SE3039,LEEDS,Y,,,,
GB7LF,70CM,DVU43,439.537500,430.537500,,NOR,,,IO84OA,SD5059,LANCASTER,,Y,,,
GB7LK,70CM,RU65,430.812500,438.412500,,SW,DV Scotland Phoenix,5,IO70SM,SX2770,LISKEARD,Y,,,,
GB7LL,70CM,DVU40,439.496875,430.496875,,WM,SALOP DMR,12,IO82,SJ2340,LLANGOLLEN,Y,,,Y,
GB7LN,70CM,DVU32,439.400000,430.400000,,CEN,BRANDMEISTER,1,IO93RF,SK9773,LINCOLN,Y,,,,
GB7LO,70CM,DVU41,439.512500,430.512500,,SE,DV Scotland Phoenix,3,IO91,TQ3668,BECKENHAM,Y,,,,
GB7LP,70CM,DVU32,439.400000,430.400000,,NOR,DV Scotland Phoenix,1,IO83MK,SJ3893,LIVERPOOL,Y,,,,
GB7LR,70CM,DVU38,439.475000,430.475000,,CEN,BRANDMEISTER,1,IO92IQ,SK4810,LEICESTER,Y,,,,
GB7LS,70CM,DVU32,439.400000,430.400000,,SCOT,BRANDMEISTER,,IO85,NT4436,GALASHIELS ,Y,Y,Y,,
GB7LT,70CM,U324,434.050000,434.050000,,CEN,,,IO92,TF1324,BOURNE,,,,,
GB7LV,2M,RV49,145.612500,145.012500,,SCOT,DV Scotland Phoenix,1,IO85FV,NT0465,LIVINGSTON,Y,Y,Y,,
GB7LZ,70CM,RU73,430.912500,438.512500,77.0,SW,,1,IO80AU,SS6309,WINKLEIGH,Y,,,,
GB7MA,70CM,DVU36,439.450000,430.450000,103.5,SCOT,,,IO75PI,NS2909,MAYBOLE,,,Y,,
