"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","QTHR","NGR","WHERE","ANALOG","DMR","DSTAR","FUSION",
2E0LNX,70CM,DVU35,439.437500,430.437500,,IO90KT,,GOSPORT,,Y,,Y,
2E0PEU,2M,RV46,145.575000,144.975000,103.5,IO83,SJ8656,STOKE-ON-TRENT,Y,,,,
2E0XTA,70CM,RU69,430.862500,438.462500,,JO01FR,TL7006,CHELMSFORD,Y,Y,,,
2M0FPI,70CM,DVU12,439.150000,430.150000,,IO87WC,NJ9303,ABERDEEN,,,Y,Y,
G1TTR,70CM,RBW24,433.300000,438.300000,67.0,IO92,SP1192,ERDINGTON,Y,Y,,,
G1YFF,70CM,RB08,433.200000,434.800000,210.7,JO02,TL6343,HAVERHILL,Y,,,,
G3PWJ,70CM,RBW21,433.262500,438.262500,67.0,IO82WK,SO9183,STOURBRIDGE,Y,Y,,,
G4IPE,70CM,RU73,430.912500,438.512500,77,IO93PP,SE8618,SCUNTHORPE,Y,,,,
G4NAB,70CM,RU72,430.900000,438.500000,118.8,IO95,NZ2887,ASHINGTON,Y,,,,
G4VZO,70CM,RBW20,433.250000,438.250000,123.0,IO82,SO8789,KINGSWINFORD,Y,Y,,,
G5BSD,70CM,RU78,430.975000,438.575000,82.5,IO91WF,TQ2948,SURREY,Y,,,,
G6GOS,2M,RV47,145.587500,144.987500,82.5,JO00AV,TQ4010,LEWES,Y,Y,Y,,
G6OHM,70CM,RU75,430.937500,438.537500,94.8,JO02AL,TL3986,CHATTERIS,Y,,,,
G7RPG,70CM,RU70,430.875000,438.475000,82.5,IO90,SU6501,PORTSMOUTH,Y,,,,
G8YDE,70CM,DVU46,439.575000,430.575000,,IO91,SP9600,CHESHAM,,Y,,,
GB3AA,2M,RV53,145.662500,145.062500,94.8,IO81RO,ST6288,BRISTOL,Y,,,,
GB3AB,70CM,RB15,433.375000,434.975000,82.5,IO93FK,SK3091,SHEFFIELD,Y,,,,
GB3AC,70CM,RU78,430.975000,438.575000,94.8,IO81TS,ST5978,BRISTOL,Y,,,,
