"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB7SM,70CM,DVU47,439.587500,430.587500,103.5,IO86OE,ST MONANS,Y,Y,Y,Y,
GB7SN,70CM,DVU54,439.675000,430.675000,,IO93GH,SHEFFIELD,,Y,,,
GB7SO,70CM,DVU42,439.525000,430.525000,,IO90KT,GOSPORT,,Y,Y,,
GB7SP,70CM,DVU60,439.750000,430.750000,,IO91CB,SALISBURY,,Y,,,
GB7SQ,70CM,DVU54,439.675000,430.675000,,IO85LU,DALKEITH,,Y,,,
GB7SR,70CM,DVU51,439.637500,430.637500,,IO93GK,SHEFFIELD,,Y,,,
GB7SS,70CM,DVU47,439.587500,430.587500,,IO87IP,ELGIN,,Y,,,
GB7ST,70CM,DVU36,439.450000,430.450000,,IO83WA,STOKE ON TRENT,,Y,,,
GB7SU,70CM,DVU36,439.450000,430.450000,,IO90IV,SOUTHAMPTON,,Y,,,
GB7SV,70CM,RB11,433.275000,434.875000,82.5,IO91UW,HITCHIN,Y,,,Y,
GB7SW,2M,RV51,145.637500,145.037500,,IO81VL,CHIPPENHAM,,,Y,,
GB7SZ,70CM,RU75,430.937500,438.537500,71.9,IO90AR,POOLE,Y,,,,
GB7TC,70CM,DVU42,439.525000,430.525000,,IO91DL,SWINDON,,Y,,,
GB7TD,70CM,DVU13,439.162500,430.162500,,IO93EP,WAKEFIELD,,Y,,,
GB7TE,2M,RV62,145.775000,145.175000,,JO01OT,CLACTON ON SEA,,,Y,,
GB7TF,70CM,DVU39,439.487500,430.487500,,IO91QT,TRING,,,,Y,
GB7TH,70CM,DVU-R23,430.287500,439.287500,,JO01QJ,MARGATE,,Y,,,
GB7TM,70CM,DVU59,439.737500,430.737500,,JO02NH,EYE,,,,Y,
GB7TP,70CM,DVU55,439.687500,430.687500,,IO93CT,SHIPLEY,,Y,Y,Y,
GB7TQ,70CM,RU71,430.887500,438.487500,94.8,IO80FM,TORQUAY,Y,,,Y,
GB7TT,70CM,DVU40,439.503125,430.503125,,IO82RJ,LUDLOW,,,,,
GB7TX,70CM,U321A,434.018750,434.018750,,JO02TK,BECCLES,,,,,
GB7TY,70CM,DVU49,439.612500,430.612500,,IO84XX,HEXHAM,,Y,Y,,
GB7UL,70CM,DVU42,439.525000,430.525000,,IO74BS,CARRICKFERGUS,,Y,,,
GB7VO,70CM,DVU56,439.700000,430.700000,,IO82QJ,TENBURY WELLS,,Y,Y,Y,
GB7VT,70CM,,431.175000,431.175000,,IO83WA,STOKE-ON-TRENT,,Y,,,
GB7WA,2M,RV55,145.687500,145.087500,,IO93WM,GRIMSBY,,Y,Y,,
GB7WB,70CM,DVU39,439.487500,430.487500,,IO81MH,WESTON-SUPER-MARE,,,Y,,
GB7WC,70CM,DVU39,439.487500,430.487500,,IO83QI,WARRINGTON,,,Y,,
GB7WD,70CM,DVU57,439.712500,430.712500,,IO82WM,SEDGLEY,,Y,,,
GB7WF,70CM,DVU39,439.487500,430.487500,,IO82UJ,BEWDLEY,,Y,Y,Y,
GB7WH,70CM,DMU30,439.375000,430.375000,110.9,IO83LB,WREXHAM,Y,,,Y,
GB7WI,70CM,DVU33,439.412500,430.412500,,IO93TR,HULL,,Y,,,
GB7WK,70CM,DVU41,439.512500,430.512500,,IO91QH,WOKING,,Y,Y,Y,
GB7WL,70CM,DVU37,439.462500,430.462500,,IO91QP,AMERSHAM,,Y,,,
GB7WM,70CM,DVU55,439.687500,430.687500,,IO83SM,ASTLEY,,,,Y,
GB7WN,70CM,DVU60,439.750000,430.750000,,IO82XP,WOLVERHAMPTON,,Y,,,
GB7WR,70CM,DVU37,439.462500,430.462500,, IO82UB,GREAT MALVERN,,,Y,Y,
GB7WT,70CM,DVU48,439.600000,430.600000,,IO64HQ,OMAGH,,Y,Y,Y,
GB7WV,70CM,DVU55,439.687500,430.687500,,IO92NL,MARKET HARBOROUGH,,Y,,,
GB7WX,70CM,DVU41,439.512500,430.512500,,IO83OE,TARVIN,,Y,Y,Y,
GB7WY,70CM,DVU41,439.512500,430.512500,,IO93FR,WAKEFIELD,,,Y,,
GB7XG,70CM,RU70,430.875000,438.475000,103.5,IO86JF,GLENROTHES,Y,Y,Y,Y,
GB7XX,70CM,DVU37,439.462500,430.462500,,IO94FW,FELLING,,Y,,,
GB7XY,70CM,DVU34,439.425000,430.425000,,IO94EX,NEWCASTLE UPON TYNE,,Y,,,
GB7YI,70CM,DVU46,439.575000,430.575000,,IO84WX,HEXHAM,,Y,,,
GB7YJ,70CM,DVU47,439.587500,430.587500,,IO92FH,LEAMINGTON SPA,,Y,,,
GB7YL,2M,RV63,145.787500,145.187500,,JO02UL,LOWESTOFT,,Y,,,
GB7YR,70CM,DVU42,439.525000,430.525000,,IO93LM,DONCASTER,,Y,,,
GB7YZ,70CM,DVU38,439.475000,430.475000,,IO83JE,MOLD,,Y,,Y,
GB7ZE,70CM,RB02,433.050000,434.650000,103.5,JO00GU,HASTINGS,Y,Y,,,
GB7ZP,70CM,DVU39,439.487500,430.487500,,JO01FS,CHELMSFORD,,,Y,,
