"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3CV,70CM,RU65,430.812500,438.412500,AV,IO92GK,COVENTRY,MIDL,67,G4USP,OPERATIONAL,
GB3CW,70CM,RB04,433.100000,434.700000,AV,IO82HL,NEWTOWN POWYS,WM,103.5,GW4IQP,NOT OPERATIONAL,
GB3CY,70CM,RU69,430.862500,438.462500,AV,IO93KW,YORK,NOR,88.5,G4FUO,OPERATIONAL,
GB3DA,2M,RV58,145.725000,145.125000,MULTI,JO01GR,DANBURY,SE,110.9,G6JYB,OPERATIONAL,
GB3DB,6M,R50-06,50.770000,51.270000,MULTI,JO01HR,DANBURY,SE,110.9,G6JYB,OPERATIONAL,
GB3DC,2M,RV55,145.687500,145.087500,AV,IO92GW,DERBY,MIDL,71.9,G7NPW,REDUCED OUTPUT,
GB3DD,70CM,RB10,433.250000,434.850000,MULTI,IO86MM,DUNDEE,SCOT,94.8,GM4UGF,OPERATIONAL,
GB3DE,70CM,RB07,433.175000,434.775000,AV,JO02NF,IPSWICH,SE,110.9,G1NRL,OPERATIONAL,
GB3DG,2M,RV62,145.775000,145.175000,MULTI,IO74UV,NEWTON STEWART,SCOT,103.5,GM8CJG,OPERATIONAL,
GB3DI,70CM,RB06,433.150000,434.750000,AV,IO91IN,DIDCOT,SW,118.8,G8CUL,OPERATIONAL,
GB3DM,70CM,RU74,430.925000,438.525000,MULTI,IO75QX,DUMBARTON,SCOT,103.5,GM7GDE,OPERATIONAL,
GB3DN,2M,RV51,145.637500,145.037500,AV,IO70UW,STIBB CROSS,SW,77,G1BHM,OPERATIONAL,
GB3DP,70CM,RU69,430.862500,438.462500,AV,IO92TR,BASTON,MIDL,88.5,G6YCA,OPERATIONAL,
GB3DQ,70CM,RU78,430.975000,438.575000,AV,IO70RI,POLPERRO,SW,77,G1YDQ,OPERATIONAL,
GB3DR,2M,RV59,145.737500,145.137500,MULTI,IO80SN,WEYMOUTH,SW,,G3VPF,OPERATIONAL,
GB3DS,70CM,RB13,433.325000,434.925000,AV,IO93KH,WORKSOP,MIDL,71.9,G3XXN,OPERATIONAL,
GB3DT,70CM,RB0,433.000000,434.600000,MULTI,IO80WU,BLANDFORD,SW,71.9,G0ZEP,OPERATIONAL,
GB3DU,2M,RV61,145.762500,145.162500,MULTI,IO85SS,DUNS,SCOT,1,GM7LUN,OPERATIONAL,
GB3DV,70CM,RB01,433.025000,434.625000,AV,IO93JK,MALTBY,NOR,71.9,G0EPX,OPERATIONAL,
GB3DW,2M,RV53,145.662500,145.062500,MULTI,IO72WT,HARLECH,WM,110.9,MW0VTK,OPERATIONAL,
GB3DX,70CM,RB12,433.300000,434.900000,AV,IO65HA,DERRY/LONDONDERRY,NI,110.9,GI4YWT,OPERATIONAL,
GB3DY,70CM,RB10,433.250000,434.850000,MULTI,IO93FB,WIRKSWORTH,MIDL,71.9,G3ZYC,NOT OPERATIONAL,
GB3DZ,70CM,RU79,430.987500,438.587500,AV,IO92HW,DERBY,MIDL,71.9,G7NPW,OPERATIONAL,
GB3EA,2M,RV55,145.687500,145.087500,AV,JO02GE,WICKHAMBROOK,SE,110.9,G1YFF,OPERATIONAL,
GB3EB,2M,RV63,145.787500,145.187500,MULTI,JO00AT,NEWHAVEN,SE,88.5,G0TJH,OPERATIONAL,
GB3ED,70CM,RB14,433.350000,434.950000,MULTI,IO85JW,EDINBURGH,SCOT,94.8,GM4GZW,OPERATIONAL,
GB3EE,70CM,RB12,433.300000,434.900000,AV,IO93JD,MANSFIELD,MIDL,71.9,G0RRZ,OPERATIONAL,
GB3EF,6M,R50-01,50.720000,51.220000,AV,JO02NF,STOWMARKET,SE,110.9,G0OZS,REDUCED OUTPUT,
GB3EG,70CM,RU73,430.912500,438.512500,AV,IO83QN,WIGAN,NOR,82.5,M1EGH,OPERATIONAL,
