"callsign","band","channel","TX","RX","mode","QTHR","where","postcode","region","code","keeper","lat","lon",
GB3AA,2M,RV53,145.662500,145.062500,AV,IO81RO,BRISTOL,BS35,SW,94.8,G4CJZ,51.59,-2.54,
GB3AB,70CM,RB15,433.375000,434.975000,AV,IO93FK,SHEFFIELD,S35,NOR,82.5,M0GAV,53.42,-1.54,
GB3AC,70CM,RU78,430.975000,438.575000,AV,IO81TS,BRISTOL,BS7,SW,94.8,G4CJZ,51.50,-2.58,
GB3AG,2M,RV58,145.725000,145.125000,MULTI,IO86ON,FORFAR,DD5,SCOT,94.8,MM0XET,56.56,-2.83,
GB3AH,70CM,RB11,433.275000,434.875000,AV,JO02KP,EAST DEREHAM,IP25,SE,94.8,G0LGJ,52.66,0.84,
GB3AI,2M,RV59,145.737500,145.137500,MULTI,IO85PK,HAWICK,TD9,SCOT,3,GM8SJP,55.40,-2.70,
GB3AK,23CM,RM14X,1297.350000,1277.350000,AV,IO81RO,BRISTOL,BS35,SW,94.8,G4CJZ,51.59,-2.54,
GB3AL,2M,RV59,145.737500,145.137500,MULTI,IO91QP,AMERSHAM,HP7,SW,77.0,M0ZPU,51.65,-0.62,
GB3AM,6M,R50-13,50.840000,51.340000,AV,IO91QP,AMERSHAM,HP7,SW,77,M0ZPU,51.65,-0.62,
GB3AN,70CM,RB08,433.200000,434.800000,MULTI,IO73UJ,AMLWCH,LL68,WM,110.9,MW0GCT,53.39,-4.30,
GB3AR,2M,RV56,145.700000,145.100000,MULTI,IO73VC,CAERNARFON,LL55,WM,110.9,GW4KAZ,53.12,-4.20,
GB3AS,2M,RV48,145.600000,145.000000,AV,IO85MC,LANGHOLM,DG14,SCOT,77,GM6LJE,55.11,-2.93,
GB3AU,70CM,RB07,433.175000,434.775000,AV,IO91QP,AMERSHAM,HP7,SW,82.5,M0ZPU,51.65,-0.62,
GB3AV,70CM,RB02,433.050000,434.650000,AV,IO91OT,AYLESBURY,HP20,SW,118.8,G8GQJ,51.81,-0.81,
GB3AW,70CM,RB10,433.250000,434.850000,AV,IO91GH,NEWBURY,SP11,SW,71.9,G8DOR,51.32,-1.44,
GB3AY,2M,RV52,145.650000,145.050000,AV,IO75OR,DALRY,KA24,SCOT,103.5,MM0YET,55.73,-4.76,
GB3BA,70CM,RB13,433.325000,434.925000,AV,IO91KF,BASINGSTOKE,RG22,SW,71.9,G8GTZ,51.20,-1.10,
GB3BB,2M,RV56,145.700000,145.100000,AV,IO81GX,BRECON,LD3,WM,94.8,MW0XDD,52.00,-3.50,
GB3BC,2M,RV60,145.750000,145.150000,AV,IO81IO,PONTYPRIDD,CF83,WM,94.8,GW0UXJ,51.61,-3.30,
GB3BE,70CM,RU69,430.862500,438.462500,MULTI,IO85SS,DUNS,TD11,SCOT,118.8,GM7LUN,55.80,-2.40,
