"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
2E0LNX,70CM,DVU35,439.437500,430.437500,,SW,BRANDMEISTER,3,IO90KT,,GOSPORT,Y,,Y,,
2E0XTA,70CM,RU69,430.862500,438.462500,,SE,,,JO01FR,TL7006,CHELMSFORD,Y,,,,
2M0FPI,70CM,DVU12,439.150000,430.150000,,SCOT,,,IO87WC,NJ9303,ABERDEEN,,Y,Y,,
GB3FK,2M,RV60,145.750000,145.150000,103.5,SE,,,JO01,TR2238,FOLKESTONE,,,Y,,
GB3XL,70CM,RU71,430.887500,438.487500,82.5,NOR,BRANDMEISTER,1,IO93CT,SE1536,SHIPLEY,Y,,,,
GB7DC,70CM,DMU28,439.350000,430.350000,71.9,CEN,,1,IO92,SK3837,DERBY,Y,Y,Y,Y,
GB3DF,70CM,DVU50,439.625000,430.625000,82.5,NOR,,,IO93,SE2206,UPPER DENBY,,Y,Y,,
2E0XTA,70CM,RU69,430.862500,438.462500,,EA,,,JO01FR,TL7006,CHELMSFORD,Y,,,,
